height_m,g,g_stat_err,g_syst_err,g_total_err,chi2_ndf,n_trials_full,n_trials_rescued
0.3,13.3939,1.9093,0.8929,2.1078,1.462,10,7
0.4,5.7702,1.1773,0.2885,1.2121,1.045,13,1
0.5,8.1015,1.0938,0.3241,1.1408,2.423,10,5
0.6,8.7867,1.3408,0.2929,1.3724,2.408,14,1
0.7,11.6270,1.5024,0.3322,1.5387,0.865,16,0
0.8,11.2943,1.3305,0.2824,1.3602,0.774,15,0
0.9,8.5123,0.9985,0.1892,1.0163,1.657,15,1
1.0,11.5861,1.1542,0.2317,1.1772,1.981,16,2
1.1,8.6530,0.8399,0.1573,0.8545,2.250,16,1
1.2,11.7102,0.9425,0.1952,0.9625,0.714,15,2

overall,9.5819,0.3605,0.0837,0.3701,3.405,,
