height_m,trial_label,method,dt1_s,dt2_s,dt3_s
0.715,h0=0.715 m trial 5,own_fit,0.5021105470000009,0.5005817970000024,0.24953199199999432
0.715,h0=0.715 m trial 6,own_fit,0.49220238300000574,0.3540305079999939,
0.715,h0=0.715 m trial 7,own_fit,0.4789592190000036,0.24307042999999595,0.24039671900000315
0.715,h0=0.715 m trial 8,own_fit,0.46747011700000485,0.3600726949999995,
0.715,h0=0.715 m trial 9,own_fit,0.48108941400001015,0.3532744529999974,0.4769798039999955
0.715,h0=0.715 m trial 10,own_fit,0.36878343799999413,0.3707797659999983,
0.715,h0=0.715 m trial 11,own_fit,0.4951725779999947,0.3758456639999963,
0.715,h0=0.715 m trial 12,own_fit,0.4985380470000109,0.490559257000001,0.36754570299999045
0.715,h0=0.715 m trial 13,own_fit,0.4942811330000012,0.24149781199999154,
0.715,h0=0.715 m trial 14,own_fit,0.4990088670000006,0.36916921899999977,0.36895210900000563
0.715,h0=0.715 m trial 15,own_fit,0.49969484399998976,0.24810453100000984,0.24177871099999493
0.815,h0=0.815 m trial 0,own_fit,0.49368734400000003,0.36147078099999996,0.23902742199999993
0.815,h0=0.815 m trial 1,own_fit,0.6027946489999998,0.2513841010000011,0.24454941399999974
0.815,h0=0.815 m trial 2,own_fit,0.4782406640000012,0.36658144599999964,0.24038378899999913
0.815,h0=0.815 m trial 3,own_fit,0.4827074610000004,0.361195507999998,
0.815,h0=0.815 m trial 4,own_fit,0.49740269600000175,0.24400703099999888,0.24282972700000016
0.815,h0=0.815 m trial 5,own_fit,0.4822351170000019,0.3702890239999945,
0.815,h0=0.815 m trial 6,own_fit,0.5062455079999992,0.3658780079999957,0.2383759370000007
0.815,h0=0.815 m trial 7,own_fit,0.5002591800000005,0.3601942960000031,0.233349687999997
0.815,h0=0.815 m trial 8,own_fit,0.49955714800000095,0.36382492199999916,0.24439820300000292
0.815,h0=0.815 m trial 9,own_fit,0.47654382799999695,0.4871773440000027,0.24062218799999613
0.815,h0=0.815 m trial 10,own_fit,0.4839616800000073,0.5925782420000019,0.46558351599999526
0.815,h0=0.815 m trial 11,own_fit,0.48868242199999656,0.3558588669999949,
0.815,h0=0.815 m trial 12,own_fit,0.5026730079999879,0.24201339800001165,0.24038933599999268
0.815,h0=0.815 m trial 13,own_fit,0.5007492189999994,0.2648972260000022,0.2454373830000094
0.815,h0=0.815 m trial 14,own_fit,0.5024753900000007,0.35061503899999025,0.24927367200000106
0.915,h0=0.915 m trial 0,own_fit,0.48623656199999976,0.35014261699999993,
0.915,h0=0.915 m trial 1,own_fit,0.5958963669999999,0.3612363280000004,0.241124687000001
0.915,h0=0.915 m trial 2,own_fit,0.5986179689999993,0.3709511329999984,0.4802750780000018
0.915,h0=0.915 m trial 3,own_fit,0.6279179289999988,0.35109406300000146,0.23710480499999775
0.915,h0=0.915 m trial 4,own_fit,0.4967519920000001,0.24631066499999577,0.2465127339999995
0.915,h0=0.915 m trial 5,own_fit,0.5635927730000034,0.33954769500000026,0.2289529299999984
0.915,h0=0.915 m trial 6,own_fit,0.4884758590000047,0.36231043000000085,0.2388308199999969
0.915,h0=0.915 m trial 7,own_fit,0.48749273499999646,0.36617531200000286,0.250440624999996
0.915,h0=0.915 m trial 8,own_fit,0.6152356249999968,0.2523568750000038,
0.915,h0=0.915 m trial 9,own_fit,0.5761218359999987,0.37956472599999813,0.37350781300000335
0.915,h0=0.915 m trial 10,own_fit,0.6167747260000027,0.35310894500000245,
0.915,h0=0.915 m trial 11,own_fit,0.4903661329999949,0.3658947659999967,0.24701542900000106
0.915,h0=0.915 m trial 12,own_fit,0.5012527740000081,0.36428492199999596,0.24577328099999818
0.915,h0=0.915 m trial 13,own_fit,0.5051623439999986,0.5200003899999928,0.37965796900000726
0.915,h0=0.915 m trial 15,own_fit,0.601210351000006,0.4904312500000003,0.2402609380000058
0.915,h0=0.915 m trial 14 (rescued),shared_slope_rescue,0.2378677349999947,,
1.015,h0=1.015 m trial 0,own_fit,0.5054597269999999,0.3611483980000001,0.37476257800000035
1.015,h0=1.015 m trial 1,own_fit,0.6144201559999996,0.35955316400000115,0.2516897270000005
1.015,h0=1.015 m trial 2,own_fit,0.5954093359999995,0.35521605399999956,
1.015,h0=1.015 m trial 4,own_fit,0.4836876950000004,0.3724886719999958,0.4853386720000046
1.015,h0=1.015 m trial 5,own_fit,0.4957393749999994,0.357621953000006,
1.015,h0=1.015 m trial 7,own_fit,0.6124117580000004,0.3542068749999956,
1.015,h0=1.015 m trial 8,own_fit,0.490463124999998,0.4793818750000014,0.368343203000002
1.015,h0=1.015 m trial 9,own_fit,0.605712890999996,0.3634211709999988,0.2397221490000021
1.015,h0=1.015 m trial 10,own_fit,0.6164762500000052,0.37391621099999384,0.2559166800000128
1.015,h0=1.015 m trial 11,own_fit,0.4861249220000019,0.6032907809999983,0.6099492190000007
1.015,h0=1.015 m trial 12,own_fit,0.6127531249999976,0.3581332430000117,
1.015,h0=1.015 m trial 13,own_fit,0.4832876560000017,0.482497500000008,0.5990603519999951
1.015,h0=1.015 m trial 14,own_fit,0.48478480500000387,0.36279792999999927,
1.015,h0=1.015 m trial 15,own_fit,0.4992551950000035,0.35342234399999484,0.2499422260000017
1.015,h0=1.015 m trial 16,own_fit,0.5014212499999928,0.3690702730000055,0.3714485940000003
1.015,h0=1.015 m trial 17,own_fit,0.48155773499999555,0.3575305079999964,
1.015,h0=1.015 m trial 3 (rescued),shared_slope_rescue,0.24562496100000075,,
1.015,h0=1.015 m trial 6 (rescued),shared_slope_rescue,0.6001001950000031,,
1.115,h0=1.115 m trial 0,own_fit,0.49235089900000006,0.36550300700000005,0.25065488300000016
1.115,h0=1.115 m trial 1,own_fit,0.6285031639999996,0.36305218800000105,0.23546593699999896
1.115,h0=1.115 m trial 2,own_fit,0.8569396870000006,0.48086925799999847,
1.115,h0=1.115 m trial 3,own_fit,0.6121847649999985,0.36852855500000103,0.24950417999999885
1.115,h0=1.115 m trial 4,own_fit,0.6089354690000022,0.3688754289999956,0.25970433600000575
1.115,h0=1.115 m trial 5,own_fit,0.6179919920000003,0.37928043000000145,0.25959773499999983
1.115,h0=1.115 m trial 6,own_fit,0.5898842189999982,0.487045547000001,
1.115,h0=1.115 m trial 7,own_fit,0.49159835900000104,0.4909583199999972,
1.115,h0=1.115 m trial 8,own_fit,0.6211983980000042,0.37433394600000014,0.26015687499999984
1.115,h0=1.115 m trial 9,own_fit,0.6243739069999918,0.3693066400000049,0.24763972700000636
1.115,h0=1.115 m trial 11,own_fit,0.48858351499998776,0.4914815240000081,
1.115,h0=1.115 m trial 12,own_fit,0.4805870309999989,0.3433560149999977,0.24096980500000598
1.115,h0=1.115 m trial 13,own_fit,0.5011607809999958,0.3891975780000081,0.25031710999999746
1.115,h0=1.115 m trial 14,own_fit,0.5000314450000047,0.5065487109999935,
1.115,h0=1.115 m trial 15,own_fit,0.6326735149999934,0.3708122660000015,0.24892062499999668
1.115,h0=1.115 m trial 16,own_fit,0.49978011700000025,0.5021051949999986,
1.115,h0=1.115 m trial 10 (rescued),shared_slope_rescue,0.613941209999993,,
1.215,h0=1.215 m trial 0,own_fit,0.6026470310000005,0.47794277299999965,0.24572714900000037
1.215,h0=1.215 m trial 1,own_fit,0.6134584379999986,0.3724361330000008,0.23919296799999934
1.215,h0=1.215 m trial 2,own_fit,0.6196783979999978,0.3685141800000018,0.24110562499999943
1.215,h0=1.215 m trial 4,own_fit,0.5101448819999987,0.48393000000000086,
1.215,h0=1.215 m trial 5,own_fit,0.5991152729999953,0.35078777400000405,0.2491183200000009
1.215,h0=1.215 m trial 6,own_fit,0.5991567969999991,0.49629535100000055,0.2419660549999989
1.215,h0=1.215 m trial 7,own_fit,0.8583200779999984,0.8073810149999971,0.7217435550000033
1.215,h0=1.215 m trial 9,own_fit,0.6179722260000062,0.3653135550000002,0.2522564840000001
1.215,h0=1.215 m trial 10,own_fit,0.6084316800000096,0.3476620309999987,0.249214374999994
1.215,h0=1.215 m trial 11,own_fit,0.6200364449999967,0.390251094000007,0.3613405859999972
1.215,h0=1.215 m trial 12,own_fit,0.6039774219999998,0.35487855399999546,0.25046593800000494
1.215,h0=1.215 m trial 13,own_fit,0.5974249609999873,0.36993976600000167,
1.215,h0=1.215 m trial 14,own_fit,0.6037425390000095,0.374287031999998,
1.215,h0=1.215 m trial 15,own_fit,0.6089659379999972,0.380381756999995,
1.215,h0=1.215 m trial 16,own_fit,0.6395235549999967,0.36454972699999644,
1.215,h0=1.215 m trial 3 (rescued),shared_slope_rescue,0.6170743749999978,,
1.215,h0=1.215 m trial 8 (rescued),shared_slope_rescue,0.36070796899999635,,
