height_m,trial_label,method,dt1_s,dt2_s,dt3_s
0.3,h0=0.3 m trial 0,own_fit,0.3637561330000003,0.3729754679999999,
0.3,h0=0.3 m trial 1,own_fit,0.2408794529999998,0.2433140629999997,
0.3,h0=0.3 m trial 2,own_fit,0.36398566399999943,0.3773387890000013,
0.3,h0=0.3 m trial 5,own_fit,0.3648700780000027,0.24514402399999824,
0.3,h0=0.3 m trial 6,own_fit,0.3627709769999967,0.36297839800000276,
0.3,h0=0.3 m trial 8,own_fit,0.24173574199999592,0.24739566400000257,
0.3,h0=0.3 m trial 11,own_fit,0.3729267969999981,0.23267945300000292,
0.3,h0=0.3 m trial 13,own_fit,0.24141089799999804,0.2424215230000044,
0.3,h0=0.3 m trial 14,own_fit,0.364757265999998,0.23682917900001144,
0.3,h0=0.3 m trial 15,own_fit,0.3625234769999963,0.24139281200000084,
0.3,h0=0.3 m trial 17,own_fit,0.23960886700000117,0.24360847700000932,
0.3,h0=0.3 m trial 18,own_fit,0.237792890999998,0.2408050390000085,
0.3,h0=0.3 m trial 19,own_fit,0.3518324220000011,0.23836410200000557,
0.3,h0=0.3 m trial 3 (rescued),shared_slope_rescue,0.23981757800000025,,
0.3,h0=0.3 m trial 4 (rescued),shared_slope_rescue,0.35740156199999973,,
0.3,h0=0.3 m trial 7 (rescued),shared_slope_rescue,0.3711578520000032,,
0.3,h0=0.3 m trial 9 (rescued),shared_slope_rescue,0.36401171800000043,,
0.3,h0=0.3 m trial 10 (rescued),shared_slope_rescue,0.3808786720000015,,
0.3,h0=0.3 m trial 12 (rescued),shared_slope_rescue,0.2485196880000018,,
0.3,h0=0.3 m trial 16 (rescued),shared_slope_rescue,0.3615856250000036,,
0.4,h0=0.4 m trial 1,own_fit,0.3529533590000007,0.23560523399999944,
0.4,h0=0.4 m trial 3,own_fit,0.37723589799999857,0.25600070300000155,0.23789125000000055
0.4,h0=0.4 m trial 4,own_fit,0.3606908199999985,0.24224328100000037,
0.4,h0=0.4 m trial 5,own_fit,0.47869566399999997,0.23832105400000003,
0.4,h0=0.4 m trial 7,own_fit,0.3693036320000047,0.24865644599999825,0.24737582000000202
0.4,h0=0.4 m trial 8,own_fit,0.36061488300000377,0.23790175799999957,0.24325453099999805
0.4,h0=0.4 m trial 9,own_fit,0.36465418000000227,0.3642521880000018,
0.4,h0=0.4 m trial 10,own_fit,0.3630241010000006,0.23991312499999395,0.23211675800000364
0.4,h0=0.4 m trial 11,own_fit,0.36150953099999583,0.23830957100000205,
0.4,h0=0.4 m trial 13,own_fit,0.36688031200000637,0.24729144499998768,
0.4,h0=0.4 m trial 15,own_fit,0.37172488299999884,0.24397546900000577,
0.4,h0=0.4 m trial 16,own_fit,0.36115617199999406,0.24365269499999442,0.2387717970000125
0.4,h0=0.4 m trial 17,own_fit,0.35937894599999254,0.2512106249999988,
0.4,h0=0.4 m trial 0 (rescued),shared_slope_rescue,0.3570244530000002,,
0.4,h0=0.4 m trial 2 (rescued),shared_slope_rescue,0.3556041400000005,,
0.4,h0=0.4 m trial 6 (rescued),shared_slope_rescue,0.3645897260000055,,
0.4,h0=0.4 m trial 12 (rescued),shared_slope_rescue,0.25268343799999116,,
0.4,h0=0.4 m trial 14 (rescued),shared_slope_rescue,0.4786097269999914,,
0.4,h0=0.4 m trial 18 (rescued),shared_slope_rescue,0.2430851170000068,,
0.4,h0=0.4 m trial 19 (rescued),shared_slope_rescue,0.37814312499999403,,
0.5,h0=0.5 m trial 0,own_fit,0.3664519930000001,0.24039378900000008,0.25005417900000015
0.5,h0=0.5 m trial 1,own_fit,0.4890794930000002,0.23834183499999995,
0.5,h0=0.5 m trial 2,own_fit,0.37098046899999915,0.24584242200000084,0.233058827999999
0.5,h0=0.5 m trial 3,own_fit,0.3639870310000006,0.35197980399999906,0.23933933600000046
0.5,h0=0.5 m trial 4,own_fit,0.4911702339999984,0.24243378899999968,
0.5,h0=0.5 m trial 5,own_fit,0.47657453100000424,0.25185999999999353,
0.5,h0=0.5 m trial 7,own_fit,0.3647787900000026,0.2511826949999971,0.24022664000000304
0.5,h0=0.5 m trial 8,own_fit,0.4833566010000041,0.24010113299999603,
0.5,h0=0.5 m trial 9,own_fit,0.4929865629999952,0.2463096870000001,0.23522386700000197
0.5,h0=0.5 m trial 10,own_fit,0.4803803519999974,0.23920335900000111,0.24086960999999008
0.5,h0=0.5 m trial 12,own_fit,0.4870824220000003,0.3521575000000041,
0.5,h0=0.5 m trial 13,own_fit,0.36191124999999147,0.24853675700001077,0.23633515699999919
0.5,h0=0.5 m trial 14,own_fit,0.481442616999999,0.24283117199999538,
0.5,h0=0.5 m trial 17,own_fit,0.362571250000002,0.2515960159999935,
0.5,h0=0.5 m trial 18,own_fit,0.47950804700001015,0.365916796999997,
0.5,h0=0.5 m trial 6 (rescued),shared_slope_rescue,0.3568810539999987,,
0.5,h0=0.5 m trial 11 (rescued),shared_slope_rescue,0.36840585999999576,,
0.5,h0=0.5 m trial 15 (rescued),shared_slope_rescue,0.3608921870000046,,
0.5,h0=0.5 m trial 16 (rescued),shared_slope_rescue,0.3542609769999956,,
0.5,h0=0.5 m trial 19 (rescued),shared_slope_rescue,0.3697890619999953,,
0.6,h0=0.6 m trial 0,own_fit,0.4797941410000002,0.2459891019999998,0.24673593699999996
0.6,h0=0.6 m trial 1,own_fit,0.47818347600000166,0.36417753899999994,
0.6,h0=0.6 m trial 2,own_fit,0.4848456640000016,0.4799217969999994,
0.6,h0=0.6 m trial 3,own_fit,0.3746078509999968,0.3641665630000013,
0.6,h0=0.6 m trial 4,own_fit,0.4804053509999946,0.2468394140000001,0.23518996100000322
0.6,h0=0.6 m trial 5,own_fit,0.3759819919999998,0.24369433600000434,0.24160261699999808
0.6,h0=0.6 m trial 6,own_fit,0.4875071869999985,0.23821328100000017,0.2395993749999974
0.6,h0=0.6 m trial 7,own_fit,0.49039566399999757,0.36180066400000044,
